LocationID; CalculationTypeID; TimeIntegrationSchemeID
1100001; 0; 1
1100001; 1; 1
1100001; 2; 1
1100001; 3; 1
1100001; 4; 1
1100001; 5; 1
1100001; 6; 1
1100001; 7; 1
1100001; 8; 1
1100001; 9; 1
1100002; 0; 1
1100002; 1; 1
1100002; 2; 1
1100002; 3; 1
1100002; 4; 1
1100002; 5; 1
1100002; 6; 1
1100002; 7; 1
1100002; 8; 1
1100002; 9; 1
1100003; 0; 1
1100003; 1; 1
1100003; 2; 1
1100003; 3; 1
1100003; 4; 1
1100003; 5; 1
1100003; 6; 1
1100003; 7; 1
1100003; 8; 1
1100003; 9; 1
1100004; 0; 1
1100004; 1; 1
1100004; 2; 1
1100004; 3; 1
1100004; 4; 1
1100004; 5; 1
1100004; 6; 1
1100004; 7; 1
1100004; 8; 1
1100004; 9; 1
1100005; 0; 1
1100005; 1; 1
1100005; 2; 1
1100005; 3; 1
1100005; 4; 1
1100005; 5; 1
1100005; 6; 1
1100005; 7; 1
1100005; 8; 1
1100005; 9; 1
1100006; 0; 1
1100006; 1; 1
1100006; 2; 1
1100006; 3; 1
1100006; 4; 1
1100006; 5; 1
1100006; 6; 1
1100006; 7; 1
1100006; 8; 1
1100006; 9; 1
1100007; 0; 1
1100007; 1; 1
1100007; 2; 1
1100007; 3; 1
1100007; 4; 1
1100007; 5; 1
1100007; 6; 1
1100007; 7; 1
1100007; 8; 1
1100007; 9; 1
1100008; 0; 1
1100008; 1; 1
1100008; 2; 1
1100008; 3; 1
1100008; 4; 1
1100008; 5; 1
1100008; 6; 1
1100008; 7; 1
1100008; 8; 1
1100008; 9; 1
1100009; 0; 1
1100009; 1; 1
1100009; 2; 1
1100009; 3; 1
1100009; 4; 1
1100009; 5; 1
1100009; 6; 1
1100009; 7; 1
1100009; 8; 1
1100009; 9; 1
1100010; 0; 1
1100010; 1; 1
1100010; 2; 1
1100010; 3; 1
1100010; 4; 1
1100010; 5; 1
1100010; 6; 1
1100010; 7; 1
1100010; 8; 1
1100010; 9; 1
1100011; 0; 1
1100011; 1; 1
1100011; 2; 1
1100011; 3; 1
1100011; 4; 1
1100011; 5; 1
1100011; 6; 1
1100011; 7; 1
1100011; 8; 1
1100011; 9; 1
1100012; 0; 1
1100012; 1; 1
1100012; 2; 1
1100012; 3; 1
1100012; 4; 1
1100012; 5; 1
1100012; 6; 1
1100012; 7; 1
1100012; 8; 1
1100012; 9; 1
1100013; 0; 1
1100013; 1; 1
1100013; 2; 1
1100013; 3; 1
1100013; 4; 1
1100013; 5; 1
1100013; 6; 1
1100013; 7; 1
1100013; 8; 1
1100013; 9; 1
1100014; 0; 1
1100014; 1; 1
1100014; 2; 1
1100014; 3; 1
1100014; 4; 1
1100014; 5; 1
1100014; 6; 1
1100014; 7; 1
1100014; 8; 1
1100014; 9; 1
1100015; 0; 1
1100015; 1; 1
1100015; 2; 1
1100015; 3; 1
1100015; 4; 1
1100015; 5; 1
1100015; 6; 1
1100015; 7; 1
1100015; 8; 1
1100015; 9; 1
1100016; 0; 1
1100016; 1; 1
1100016; 2; 1
1100016; 3; 1
1100016; 4; 1
1100016; 5; 1
1100016; 6; 1
1100016; 7; 1
1100016; 8; 1
1100016; 9; 1
1100017; 0; 1
1100017; 1; 1
1100017; 2; 1
1100017; 3; 1
1100017; 4; 1
1100017; 5; 1
1100017; 6; 1
1100017; 7; 1
1100017; 8; 1
1100017; 9; 1
1100018; 0; 1
1100018; 1; 1
1100018; 2; 1
1100018; 3; 1
1100018; 4; 1
1100018; 5; 1
1100018; 6; 1
1100018; 7; 1
1100018; 8; 1
1100018; 9; 1
1100019; 0; 1
1100019; 1; 1
1100019; 2; 1
1100019; 3; 1
1100019; 4; 1
1100019; 5; 1
1100019; 6; 1
1100019; 7; 1
1100019; 8; 1
1100019; 9; 1
1100020; 0; 1
1100020; 1; 1
1100020; 2; 1
1100020; 3; 1
1100020; 4; 1
1100020; 5; 1
1100020; 6; 1
1100020; 7; 1
1100020; 8; 1
1100020; 9; 1
1100021; 0; 1
1100021; 1; 1
1100021; 2; 1
1100021; 3; 1
1100021; 4; 1
1100021; 5; 1
1100021; 6; 1
1100021; 7; 1
1100021; 8; 1
1100021; 9; 1
1100022; 0; 1
1100022; 1; 1
1100022; 2; 1
1100022; 3; 1
1100022; 4; 1
1100022; 5; 1
1100022; 6; 1
1100022; 7; 1
1100022; 8; 1
1100022; 9; 1
1100023; 0; 1
1100023; 1; 1
1100023; 2; 1
1100023; 3; 1
1100023; 4; 1
1100023; 5; 1
1100023; 6; 1
1100023; 7; 1
1100023; 8; 1
1100023; 9; 1
1100024; 0; 1
1100024; 1; 1
1100024; 2; 1
1100024; 3; 1
1100024; 4; 1
1100024; 5; 1
1100024; 6; 1
1100024; 7; 1
1100024; 8; 1
1100024; 9; 1
1100025; 0; 1
1100025; 1; 1
1100025; 2; 1
1100025; 3; 1
1100025; 4; 1
1100025; 5; 1
1100025; 6; 1
1100025; 7; 1
1100025; 8; 1
1100025; 9; 1
1100026; 0; 1
1100026; 1; 1
1100026; 2; 1
1100026; 3; 1
1100026; 4; 1
1100026; 5; 1
1100026; 6; 1
1100026; 7; 1
1100026; 8; 1
1100026; 9; 1
1100027; 0; 1
1100027; 1; 1
1100027; 2; 1
1100027; 3; 1
1100027; 4; 1
1100027; 5; 1
1100027; 6; 1
1100027; 7; 1
1100027; 8; 1
1100027; 9; 1
1100028; 0; 1
1100028; 1; 1
1100028; 2; 1
1100028; 3; 1
1100028; 4; 1
1100028; 5; 1
1100028; 6; 1
1100028; 7; 1
1100028; 8; 1
1100028; 9; 1
1100029; 0; 1
1100029; 1; 1
1100029; 2; 1
1100029; 3; 1
1100029; 4; 1
1100029; 5; 1
1100029; 6; 1
1100029; 7; 1
1100029; 8; 1
1100029; 9; 1
1100030; 0; 1
1100030; 1; 1
1100030; 2; 1
1100030; 3; 1
1100030; 4; 1
1100030; 5; 1
1100030; 6; 1
1100030; 7; 1
1100030; 8; 1
1100030; 9; 1
1100031; 0; 1
1100031; 1; 1
1100031; 2; 1
1100031; 3; 1
1100031; 4; 1
1100031; 5; 1
1100031; 6; 1
1100031; 7; 1
1100031; 8; 1
1100031; 9; 1
